GammelID;NyID;
339700;48c55300-cafe-45ee-8386-402ec6e791ef;
339701;1c6f45d8-baf8-472d-b7d4-f5c51c449a83;
339705;51dc1c82-c3a3-4ec7-9c47-acd6e489cd11;
339706;acc7253b-81d8-4bf3-81de-8e87a08c0df6;
339707;80b05e57-aa36-43aa-858e-1174f09c8bf1;
339708;45f22a4f-f0ca-4f5f-b279-a2f1ef9d490b;
339711;23909388-6390-4117-8249-29e91d40c5a6;
339712;a16c2c9e-3193-4de7-9d02-3ea19f8d5e77;
339713;b6285b62-124a-4998-9531-750b5193d9e7;
339714;5c52a51b-def0-4213-afb1-09330d63606f;
339715;9d6413f6-0632-4e03-bb5f-8ad2cc571869;
339717;d3e5264d-f07a-4cd0-be46-9ab5d4e320e7;
339720;17ecc579-4bb0-47d3-8dd1-5d056c433c23;
339721;dfa8d379-b4d6-4a13-b59e-95b94f6ad4e3;
339722;ebd3a449-4d13-4730-b1be-dbaf0405e38f;
339723;165ee0fa-537a-4566-b686-87421d3bd0d8;
339725;16a4160c-98d6-4296-acf9-9c165caaf095;
339726;05b13cea-47d0-4ee8-9510-da35dec42586;
339727;b37661e5-6a49-4d59-9d81-24a7cfa56507;
339729;8bd37655-e4d4-4ab7-a1ef-5482c304e0ab;
339731;d77bbe0b-fb82-412e-9e76-f5f6ea3a8abc;
339732;b2b37720-1792-4fa7-ad46-e14b8c71044e;
339733;df576544-cdc1-46d1-9d07-65164bf067cb;
339735;a2deea76-2408-44ba-9025-1f4b3291db37;
339737;3e23b36c-931e-46b2-b6ab-7b34e75596a5;
339738;7a5a93aa-b6e5-4164-b63f-1549dd79589e;
339741;cf26c859-fcfa-4869-8b12-f34bbe4719e0;
339745;8fd42902-fa50-4aaa-af07-523d6cbc7be0;
339747;8533b543-2f71-445f-ba6f-a6f7b7d25759;
339748;5bdf4556-5d51-46a2-b74c-de258d013fe3;
339752;5ec29358-705c-4285-816d-cc4557d6e779;
339753;44a7ff8e-5814-45ad-8483-f256308eb39f;
339756;2860a12b-a948-449a-8fc4-a80ebbd73afa;
339757;c6f14c80-6148-47d5-b647-4605a4b30a7d;
339758;612f9aae-5dc2-4bd1-b22a-72e459af9dc7;
339759;785eae36-e3b7-4dc7-a1e5-79dc92faa5ac;
339760;6a4c0c9f-4c9e-45dd-94f1-09c47ea4201d;
339765;03ea2d85-ab03-4ead-9630-d44ac2b026cf;
339766;d29a639b-3cb4-4bcd-b326-0093f7bbcb1e;
339767;ec8e3e79-821e-417e-9fec-f27a51cf813e;
339771;74e11856-b4ef-45d5-a215-960fc4d4a7f7;
339773;3376fb41-4b4a-48e8-9a40-501d6a30d2e7;
339774;a91281b3-d79b-4a32-8e32-b3335d112a09;
339775;56c171a3-c2f9-4600-9511-a77c5916a796;
339777;03a6ce54-1151-4aae-85e0-570f398479ea;
339781;48a9db4e-2971-4a9f-ac44-d1acf2877f6d;
339782;4abde733-0faf-419a-93cd-369284874c50;
339783;2a065b71-7ac7-4453-8883-d177853a4114;
339784;d67b7887-68f1-475a-aa21-cdaab615a1d7;
339785;7c808c86-8941-45aa-b351-3eb59029b4c7;
339788;e808ca5a-1202-43b4-b901-428e80dd9260;
339791;ca5968de-6ab3-465a-9340-cfcda7924a2e;
339792;d0d656a6-64dc-4fe9-a0f6-f7e575af4416;
339793;4e63767d-8a0e-441b-85c7-4db0e873e92f;
339795;c774bdfe-bb57-4979-955e-06a2cd207a10;
339797;383c4fd5-37f0-43eb-a72f-d7ee9a5c32d9;
339798;914a92d8-98d7-48fc-8b0b-614a301a8386;
339799;b5eed006-2924-42a0-86fe-0d9e02d5bc08;
339800;9882440c-e667-4545-849b-d4d105b07f28;
339805;63245979-5179-4785-936b-cbe283839bef;
339807;5d522928-1f13-403e-9418-e6b0d101891e;
339808;9e77f930-1210-452b-95a3-98f78dda07b3;
339810;99cf6d4b-a8e1-43a8-b12a-e6ab1dc9f59d;
339811;edffb9f3-a7a3-4f03-b6cc-b897dab807bd;
339813;6f838d30-d723-4529-9ebe-111200cc361f;
339814;98efeb3f-d4e5-4697-ba58-b14c5be424e4;
339816;9bad8e2e-9916-4c89-9a06-e0a373ec14bf;
339817;add203a2-6ea8-4650-a8f3-e6adf69d7206;
339818;f2bfb687-d72e-4559-847e-9f61016cfebe;
339819;31a834ce-809f-421d-9e1f-79776b352b8e;
339820;dbd3a40c-b85a-405b-b246-f244f6a0a23e;
339822;69def14f-ed32-4fe6-81cd-f49bd0779d72;
339823;2cc0ed6e-95e7-4f22-aeeb-1558c14ff586;
339827;1dbbf1cf-b7d1-49d3-90aa-a68b214fd44c;
339829;83743b8b-d32f-4c44-b095-44f875e6fbdb;
339830;dc750577-f6d2-4ec8-9ef6-d85cc0eebf1c;
339831;d2086aba-c69d-47ba-84cc-41ccc1007e72;
339832;1d5bed9f-bd64-4e91-a0ab-00da5a565e5e;
339835;884a3e51-714b-4d61-9662-6c8fd7d0d453;
339837;89b923c3-754b-4e8e-a79c-976a7cc5317c;
339838;64f8ba2d-0d22-488f-81f7-d2563387dd1d;
339839;fd3f0248-00e0-45b9-8975-a296a6802583;
