GammelID;NyID
339902;D7D5B3CC-28E1-463C-AF4B-8A83D233D289
339961;C227FC47-7C2B-4FE6-8433-7D536A3E0162
340078;A33D9C23-04BF-4BB6-AB39-D5ECAEB0AA88
340269;D09702E0-5925-4CD5-AE80-EF4F1CDCE5DC
340357;B8873904-B7D4-4D96-8F6A-04F6645F8DF1
340507;158196DA-A62F-4C91-8432-78A220D0C021
340543;5FCE7321-320B-4EB6-B890-A2AD85B1BFC1
340549;3005B165-0DCF-43A0-92B9-FEB9420DB630
340576;D14C21A8-C9FF-4AAD-B126-02E13B201D3A
340698;5F677A7E-7965-49A2-9111-A66204459156
340796;BA6D9C7E-6471-4C4D-B288-7F1431B2FFCC
340915;8BB968CE-08C9-45E8-AF55-EC1E834C05E7
340931;F4D2BAB3-F5A0-4CB9-8126-6FA6DAD08D7E
341181;0EEF56C3-B484-4A82-92FA-A78ED4FCFB36
341504;71AD4255-165F-464B-8B0B-C045172D4192
341680;D0172CD0-0BDC-48BF-8D64-244E250E4B56
341744;6A9AFF53-5475-4195-88FF-675E7E1E2D55
341749;E5BDE478-DC9C-4B19-82F3-3D4D0DCE0507
341816;5CDD62D9-3FB6-44A1-BDB6-88935268089F
341854;E5CBE46D-E3EC-49AA-B348-79387E75AF50
342005;4750F28E-8F1E-477B-A7EA-A7A955995D2E
342061;4423866B-F7A0-4DCA-B703-121EF82422EA
342124;B4D0F253-84DE-4B78-85C6-4D729C16EEC1
342242;DF3FA124-3A9C-451D-9CC4-2BB98A5E7D0D
342390;EB92A9DD-22F1-4ED8-9EAA-372A7F33B2CF
342458;D2BD4332-83C4-4FB7-8515-001FC591CF30
342469;86C4CC2B-C5F4-499E-B55B-55E1EFE02116
342606;7DF5C39E-125A-4F45-94A8-DC46D461D4C4
342786;556F8C6F-E868-4C67-B94C-4B187A5F647E
342862;BAB6FAA1-94C7-4E1C-9A5F-FDB7EF05B2FC
343160;DDA8F718-29A8-4E4A-88C4-1922798DBB9D
343634;0D513DCD-8B6E-48D2-8DF8-77C1261FFA52
378522;6B595A54-906A-49DF-A4BB-C035EAA462AE
378602;96D5D577-2C30-4D65-9328-E5E65EE4A976
378632;9D100DE8-A9C6-495C-9CCB-C179CF4A9494
378773;4A2B8D47-BE95-41FE-8DC2-F1C3961A5B59
378803;0E24E30C-CBFB-4FBE-868F-C8564B7CB479
378830;EEBDB3B5-9783-4F98-97E6-C20E622AA518
378911;1B6AF477-9D96-4563-8CC6-8BFC1687EC07
378912;4DE61EBC-5336-4501-9CC9-369D0BD79C87
378922;C3235E35-B243-4D93-A5BE-BF9E2A3C8ACD
378944;DF8281A7-E1B9-4A82-8FDF-CC3353CFF79E
378958;1A97A3B3-72AA-44FE-91BE-2CD35D7E8FA1
378966;D6631B05-529F-4DC1-BF68-FE6396DC21F7
379028;90E72104-71E8-4FBC-B790-C60BD9EE7A2D
379070;58EBDA7A-6759-4997-B325-43FB7B90DEF9
379111;16CC5841-B8B4-4915-97F4-B0F7123616D3
379112;3BC941CA-2D2F-484D-A463-F2320FBE2B52
379156;CF57872F-E356-41CB-8847-12BAD25D9827
379212;C44F2926-67E0-4F32-8B61-F7C457905C3D
379220;4F5CE5B2-FD9B-4046-B98F-60C6B03404C1
379221;07387114-9FF2-4279-B67D-D148A3FEAA52
379224;40220DC0-9BE1-4B68-98B6-A9F5CFBACBB4
379226;2B21C26B-1646-495B-8141-B3FB1502421D
379227;819FE358-D46A-471F-B7A9-91473D6FA3C5
379230;17FEAD2F-7E79-4C23-BB2C-BDEEC181974D
379271;A4B86C38-82E5-4441-8F42-5B4E3D3B026D
379380;BB73920F-DA42-439D-B424-1580FB14949D
379421;88247095-CCCD-4464-8F61-1FD9DEB553D1
379446;72896F98-72CB-47F9-89A8-922CB9F52FC2
379484;2F8CD3D6-CD33-4FC3-B887-CE271AE8DDDA
379575;1CCB3467-4F0B-4B51-80F1-FFBCFE38EFBC
379579;81E7352D-5CF7-43BE-B46E-06E3058ED715
379580;41DC511E-EE8B-4409-927F-50EA4044CC02
379595;DA3CBC15-5248-4CCB-94CC-883B24E83971
379618;6A57861A-2104-43EA-A08B-944B6531BE23
379620;51169524-7F12-4814-A98B-916FAC4A3CA5
379625;87C07D12-90D2-4BCA-9FBD-B44A18A3F879
379632;82FB88C9-9462-48C9-9E3A-B4C937C0437F
379677;F4DE58B1-EB3F-4446-B045-4450E85229EE
379750;65DFBE11-1652-4286-ADB6-E0608FF7B019
379822;CDB2BA81-21CF-4A83-A4C5-C6C7E68257C7
379828;5D0DD6BB-BFED-43D5-B83A-D22B27A1226D
379829;50FBD28E-C04A-45F4-AFF5-486037260C98
379871;A4F1F9BA-0F4E-477F-988F-72310C69A438
379882;0DF4316B-3CF0-4DC6-A536-9FBF9615DA1D
379912;DF9F629C-ABA1-4553-AB19-C670E1B249F6
379940;57898FA3-3528-40C2-814B-46BDA0EE5419
379941;01E606B8-95A1-4D4B-9BAC-04D111AC9949
379942;5C94CA5F-9FF6-446B-8135-67847F710BBD
379944;4DACB554-490F-4CDA-B89B-18BB8B5D1B01
379993;28A6EC5E-0729-42B6-9B64-9717EA0DAEE8
380015;E85F4308-CC18-42E9-8E58-779CF7CC1282
380051;CA486361-391C-4C65-8AD7-98D57FC342A5
380063;3EBF637E-1D97-4BAB-A550-60333E2888EB
380095;B163700D-ADEA-4C50-AD25-821094DBEA33
380098;39422B77-98CB-4B7D-A124-A3571EAC50CB
380286;A8671E53-EE10-4E54-99C6-1A792ED0D9B9
380409;6DBE6606-2360-4E0E-8E1F-1B3F8EA87DF1
417548;C488165D-F60F-4FC2-BB9F-77A99AD139B7
417619;A03E2713-33C5-4246-9E7D-0EAF827B4E36
417803;32997BC7-5D8B-4876-B312-CBAB1A57ABB9
417888;E40E822F-630D-4103-84EE-B5B827B8BC89
420206;B2630801-25AB-4DF3-97BD-A54EA42162DB
421069;0ABCA18D-9780-432B-AC30-9F1521ECB64E
421072;AC0995E4-AA08-4E2E-A995-9814E5156384
422709;4301D5FA-752A-43BE-BC84-6D4B834DE03A
423255;3923A556-8F7A-4C22-A2A9-1D7A04063C47
424715;850B03F4-C4DA-4D50-967A-9EE8E1BF72AF
424772;C8350A64-A734-461F-AA80-3AA97EAC9379
426092;CF531965-0D31-48F1-BC40-3C22EB1D711C
428682;BC6E261E-B329-4D11-ADED-7214CD109670
430911;15310AF0-80D9-448A-9073-FD9F982BBEB6
432201;E48ACE51-0AD4-4F8A-AEE8-DBA7B8FD3724
433118;997852BE-DA53-4831-A1AB-D8840069CBCB
433165;4E168B26-925D-4C12-98BB-0AFEB155DFAB
434226;AC6AA8A4-FC55-443A-AB9A-AB70FF33EB9A
434733;575FD112-B0F5-42DE-99B5-B8C23091FC1F
434936;07E0376F-3A43-4BA8-A52E-DD1E07ADFD12
436009;F6839841-CB1F-4BDE-90DE-D649121B3E6D
436408;D56768B1-8300-40AB-B777-8D9F595D24A7
437202;CAEC3EB2-D58D-4AC6-902A-D85F56858559
437204;E7BE3C01-753E-4C00-9AED-1D99E6E07F35
437307;B857A67C-7CD4-44CC-9B8E-76B91AB1BDC9
437334;BF20D5D7-7BF1-4210-95E2-0443484662A0
437342;65C9C0EE-CA06-4BCA-A193-8A2A4FDA1A5E
